Period,Year,Month,SaaS_Revenue,Per_Access_Revenue,Setup_Fees,Premium_Features,Hardware_Margin,Maintenance_Support,Gross_Revenue,AWS_Infra,Tuya_API_Fees,Support_Headcount,Hosting_CDN,Insurance_Compliance,Marketing_Sales,Hardware_Replacement,Total_OpEx,COGS_Dev,Gross_Profit,Net_Income,Cumulative_Cashflow,Status
Q1,1,1,4000,0,50000,400,200,833,55433,250,230,1000,167,250,417,833,3117,5513,51316,48199,48199,Dev Phase 1 Start
Q1,1,2,4000,0,0,400,200,833,5433,250,230,1000,167,250,417,833,3117,-5513,1920,-3593,44606,Phase 1 Midpoint
Q1,1,3,4500,8333,0,400,200,833,14266,250,230,1000,167,250,417,833,3117,-4866,10400,5534,50140,Phase 1 Complete - Pilot #1
Q2,1,4,5000,8333,0,400,250,833,14816,300,240,1000,167,250,417,833,3207,-3391,11609,8218,58358,Phase 2 Start - Card Reader
Q2,1,5,5000,16667,0,400,250,833,23150,300,240,1000,167,250,417,833,3207,-3391,19943,16552,74910,Pilot #2 Active
Q2,1,6,5000,20000,0,400,300,833,26533,300,240,1000,167,250,417,833,3207,-3391,23326,19935,94845,Pilot #3 Enrolled
Q3,1,7,6000,25000,0,500,400,833,32733,400,270,1500,167,250,417,833,3837,-3391,28896,25059,119904,Phase 3 Integration
Q3,1,8,7000,30000,0,500,400,833,38733,400,270,1500,167,250,417,1000,4004,-2195,34729,32534,152438,Phase 4 Payment - Stripe
Q3,1,9,8000,35000,0,500,500,833,44833,400,320,1500,167,250,417,1000,4054,-2195,40779,38584,191022,Moloni Integration Active
Q4,1,10,9000,38333,0,500,500,833,49166,450,330,2000,167,250,417,1000,4114,-2195,44971,42776,233798,Phase 5 Gates - Production
Q4,1,11,9500,40000,0,500,500,833,51333,450,330,2000,167,250,417,1000,4114,-2195,47219,45024,278822,Production Hardening
Q4,1,12,10000,41667,0,500,500,833,53500,450,330,2000,167,250,417,1000,4114,-1550,48936,47386,326208,Year 1 Complete
Annual,1,13,0,0,0,0,0,0,229800,3600,2760,12000,2004,3000,5004,10000,38368,9000,182432,173432,326208,Y1 Summary
Q1,2,14,9000,35000,0,500,400,833,45733,450,330,2000,167,250,417,1000,4114,-100,41619,41519,367727,Y2 Q1 - 100 Replicas Ongoing
Q2,2,15,9000,35000,0,500,400,833,45733,450,330,2000,167,250,417,1000,4114,-100,41619,41519,409246,Y2 Q2 - Replicas Active
Q3,2,16,9000,35000,0,500,400,833,45733,500,330,2000,167,250,417,1000,4164,-100,41569,41469,450715,Y2 Q3 - Premium Uptake
Q4,2,17,10000,40000,0,500,500,833,51833,500,330,2000,167,250,417,1000,4164,-100,47569,47469,498184,Y2 Q4 - Maintenance Revenue
Annual,2,18,0,0,0,0,0,0,179800,1900,1320,8000,668,1000,1668,4000,18556,0,161244,161244,659428,Y2 Summary
Q1,3,19,10000,40000,0,500,500,833,51833,500,330,2000,167,250,417,1000,4164,-100,47569,47469,706897,Y3 Q1 - Steady State
Q2,3,20,10000,40000,0,500,500,833,51833,500,330,2000,167,250,417,1000,4164,-100,47569,47469,754366,Y3 Q2 - Market Saturation
Q3,3,21,10000,40000,0,500,500,833,51833,750,330,2000,167,250,417,1000,4214,-100,47519,47419,801785,Y3 Q3 - Higher OpEx
Q4,3,22,10000,40000,0,500,500,833,51833,750,330,2000,167,250,417,1000,4214,-100,47519,47419,849204,Y3 Q4 - End of Cycle
Annual,3,23,0,0,0,0,0,0,179800,2500,1320,8000,668,1000,1668,4000,19156,0,160644,160644,1009848,Y3 Summary
Total,0,0,0,0,0,0,0,0,589400,7000,6080,28000,2340,5000,8340,18000,76760,18170,494470,476300,1009848,3-Year Total
